id_,year,month,state,mode,etiology,animal_type
46024,2009,1,Ohio,Animal Contact,Cryptosporidium unknown,Cattle
46025,2009,3,Montana,Animal Contact,Cryptosporidium unknown,Sheep or goats
46026,2009,4,Ohio,Animal Contact,Salmonella enterica,Pet fish
46027,2009,5,Ohio,Animal Contact,Cryptosporidium unknown,Cattle
46028,2009,5,Iowa,Animal Contact,Cryptosporidium unknown,Sheep or goats
46029,2009,5,Ohio,Animal Contact,Cryptosporidium unknown,Sheep or goats
46030,2009,3,Oregon,Animal Contact,Salmonella enterica,Baby chick or duckling
46031,2009,5,Idaho,Animal Contact,Campylobacter jejuni,Cat or kitten
46032,2009,8,Minnesota,Animal Contact,Cryptosporidium parvum,Cattle
46033,2009,6,Virginia,Animal Contact,Salmonella enterica,Turtle
46034,2009,2,Wyoming,Animal Contact,Salmonella enterica,"Lizard; Turtle; Bird, not including poultry; Other reptile"
46035,2009,8,Minnesota,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle
46036,2009,6,Oregon,Animal Contact,Salmonella enterica,Other reptile; Other small mammalian household pet
46037,2009,6,Oregon,Animal Contact,Salmonella enterica,Baby chick or duckling
46038,2009,9,Pennsylvania,Animal Contact,Campylobacter jejuni,Cattle
46039,2009,1,Colorado,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle
46040,2009,3,Colorado,Animal Contact,Salmonella enterica,Baby chick or duckling
46041,2010,1,Maine,Animal Contact,Cryptosporidium,Sheep or goats; Sheep or goats; Dog or Puppy; Other poultry; Pig; Other (specify)
46042,2010,2,New Hampshire,Animal Contact,Campylobacter unknown; Giardia duodenalis,Cattle
46043,2010,3,Ohio,Animal Contact,Cryptosporidium unknown,Cattle
46044,2010,4,Minnesota,Animal Contact,Cryptosporidium parvum,Cattle
46045,2009,3,Wyoming,Animal Contact,Salmonella enterica,Other small mammalian household pet; Other small mammalian household pet; Cat or kitten; Dog or Puppy; Amphibian
46046,2010,4,Missouri,Animal Contact,Salmonella enterica,Pet fish
46047,2010,8,Wisconsin,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle; Sheep or goats
46048,2010,2,Washington,Animal Contact,Salmonella enterica,Baby chick or duckling
46049,2010,8,Minnesota,Animal Contact,Campylobacter jejuni,Other poultry
46050,2010,10,Oklahoma,Animal Contact,"Escherichia coli, Shiga toxin-producing",Sheep or goats; Sheep or goats; Sheep or goats
46051,2010,11,South Dakota,Animal Contact,Salmonella enterica,Other poultry
46052,2009,2,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46053,2009,5,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46054,2009,9,Multistate,Animal Contact,Salmonella enterica,Turtle
46055,2009,3,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46056,2009,4,Multistate,Animal Contact,Salmonella enterica,Amphibian
46057,2009,12,Multistate,Animal Contact,Salmonella enterica,Lizard; Other (specify)
46058,2011,4,Iowa,Animal Contact,Cryptosporidium,Sheep or goats
46059,2010,4,Colorado,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle
46060,2010,3,Colorado,Animal Contact,Giardia duodenalis,Lizard
46061,2011,6,Wyoming,Animal Contact,Campylobacter jejuni,Sheep or goats
46062,2011,6,Washington,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle
46063,2011,6,Alaska,Animal Contact,Salmonella enterica,Turtle
46064,2011,5,Wyoming,Animal Contact,Campylobacter unknown,Cattle; Cattle; Other (specify); Dog or Puppy; Sheep or goats; Other poultry
46065,2011,8,Minnesota,Animal Contact,"Escherichia coli, Shiga toxin-producing",Sheep or goats
46066,2011,5,North Carolina,Animal Contact,Cryptosporidium parvum,Cattle
46067,2009,12,North Carolina,Animal Contact,Salmonella enterica,Other small mammalian household pet
46068,2011,8,Michigan,Animal Contact,"Escherichia coli, Shiga toxin-producing",Other small mammalian household pet; Other poultry; Baby chick or duckling; Dog or Puppy; Cattle; Sheep or goats; Sheep or goats; Other (specify); Other small mammalian household pet
46069,2011,9,Virginia,Animal Contact,Salmonella enterica,Amphibian
46070,2011,9,Ohio,Animal Contact,Salmonella enterica,Pet fish
46071,2011,10,Oregon,Animal Contact,Cryptosporidium,Cattle
46072,2011,4,Colorado,Animal Contact,Cryptosporidium unknown,Sheep or goats
46073,2011,12,Pennsylvania,Animal Contact,Salmonella enterica,Turtle
46074,2010,2,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46075,2012,1,Ohio,Animal Contact,Campylobacter unknown,Dog or Puppy
46076,2010,2,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46077,2011,4,Illinois,Animal Contact,Cryptosporidium unknown,Cattle
46078,2010,2,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46079,2010,8,Multistate,Animal Contact,Salmonella enterica,Turtle
46080,2010,5,Multistate,Animal Contact,Salmonella enterica,Other small mammalian household pet
46081,2012,2,Ohio,Animal Contact,Cryptosporidium unknown,Cattle
46082,2011,10,North Carolina,Animal Contact,"Escherichia coli, Shiga toxin-producing",Other (specify)
46083,2011,4,Kentucky,Animal Contact,Salmonella enterica,Other poultry
46084,2012,4,Minnesota,Animal Contact,Cryptosporidium parvum,Cattle
46085,2012,4,Pennsylvania,Animal Contact,Salmonella enterica,Turtle
46086,2012,5,Ohio,Animal Contact,Campylobacter unknown,Other poultry
46087,2012,2,Illinois,Animal Contact,Cryptosporidium unknown,Cattle
